list,seg1 (context),seg2,seg3,seg4,seg5,seg6,seg7,seg8 (question),genero,fonologia
1,d_1a_seg1,d_1a_seg2,d_1a_seg3,d_1a_seg4,d_1a_seg5,d_1a_seg6,d_1a_seg7,d_1a_seg8,1,0
2,d_1b_seg1,d_1b_seg2,d_1b_seg3,d_1b_seg4,d_1b_seg5,d_1b_seg6,d_1b_seg7,d_1b_seg8,0,1
2,d_2a_seg1,d_2a_seg2,d_2a_seg3,d_2a_seg4,d_2a_seg5,d_2a_seg6,d_2a_seg7,d_2a_seg8,1,0
1,d_2b_seg1,d_2b_seg2,d_2b_seg3,d_2b_seg4,d_2b_seg5,d_2b_seg6,d_2b_seg7,d_2b_seg8,0,1
1,d_3a_seg1,d_3a_seg2,d_3a_seg3,d_3a_seg4,d_3a_seg5,d_3a_seg6,d_3a_seg7,d_3a_seg8,0,1
2,d_3b_seg1,d_3b_seg2,d_3b_seg3,d_3b_seg4,d_3b_seg5,d_3b_seg6,d_3b_seg7,d_3b_seg8,1,0
2,d_4a_seg1,d_4a_seg2,d_4a_seg3,d_4a_seg4,d_4a_seg5,d_4a_seg6,d_4a_seg7,d_4a_seg8,0,1
1,d_4b_seg1,d_4b_seg2,d_4b_seg3,d_4b_seg4,d_4b_seg5,d_4b_seg6,d_4b_seg7,d_4b_seg8,1,0
1,d_5a_seg1,d_5a_seg2,d_5a_seg3,d_5a_seg4,d_5a_seg5,d_5a_seg6,d_5a_seg7,d_5a_seg8,1,0
2,d_5b_seg1,d_5b_seg2,d_5b_seg3,d_5b_seg4,d_5b_seg5,d_5b_seg6,d_5b_seg7,d_5b_seg8,0,1
2,d_6a_seg1,d_6a_seg2,d_6a_seg3,d_6a_seg4,d_6a_seg5,d_6a_seg6,d_6a_seg7,d_6a_seg8,1,0
1,d_6b_seg1,d_6b_seg2,d_6b_seg3,d_6b_seg4,d_6b_seg5,d_6b_seg6,d_6b_seg7,d_6b_seg8,0,1
