audio_file,duration_ms,segment_number,item_id,genero,fonologia,list,spl_exp,spa_sniy,que_ykuna
d_1a_seg1.wav,6204.31,1,item_1d,1.0,0.0,1,dim,,
d_1a_seg2.wav,922.9,2,item_1d,1.0,0.0,1,dim,,
d_1a_seg3.wav,702.79,3,item_1d,1.0,0.0,1,dim,,
d_1a_seg4.wav,846.71,4,item_1d,1.0,0.0,1,dim,,
d_1a_seg5.wav,711.22,5,item_1d,1.0,0.0,1,dim,,
d_1a_seg6.wav,694.31,6,item_1d,1.0,0.0,1,dim,,
d_1a_seg7.wav,1054.15,7,item_1d,1.0,0.0,1,dim,,
d_1a_seg8.wav,2244.81,8,item_1d,1.0,0.0,1,dim,,
d_2b_seg1.wav,4860.23,1,item_4d,0.0,1.0,1,dim,,
d_2b_seg2.wav,931.81,2,item_4d,0.0,1.0,1,dim,,
d_2b_seg3.wav,622.24,3,item_4d,0.0,1.0,1,dim,,
d_2b_seg4.wav,854.94,4,item_4d,0.0,1.0,1,dim,,
d_2b_seg5.wav,688.0,5,item_4d,0.0,1.0,1,dim,,
d_2b_seg6.wav,748.71,6,item_4d,0.0,1.0,1,dim,,
d_2b_seg7.wav,981.43,7,item_4d,0.0,1.0,1,dim,,
d_2b_seg8.wav,2077.66,8,item_4d,0.0,1.0,1,dim,,
d_3a_seg1.wav,6430.73,1,item_5d,0.0,1.0,1,dim,,
d_3a_seg2.wav,927.21,2,item_5d,0.0,1.0,1,dim,,
d_3a_seg3.wav,664.97,3,item_5d,0.0,1.0,1,dim,,
d_3a_seg4.wav,960.0,4,item_5d,0.0,1.0,1,dim,,
d_3a_seg5.wav,763.31,5,item_5d,0.0,1.0,1,dim,,
d_3a_seg6.wav,922.54,6,item_5d,0.0,1.0,1,dim,,
d_3a_seg7.wav,1184.76,7,item_5d,0.0,1.0,1,dim,,
d_3a_seg8.wav,3313.4,8,item_5d,0.0,1.0,1,dim,,
d_4b_seg1.wav,6091.09,1,item_8d,1.0,0.0,1,dim,,
d_4b_seg2.wav,974.65,2,item_8d,1.0,0.0,1,dim,,
d_4b_seg3.wav,689.02,3,item_8d,1.0,0.0,1,dim,,
d_4b_seg4.wav,925.62,4,item_8d,1.0,0.0,1,dim,,
d_4b_seg5.wav,840.0,5,item_8d,1.0,0.0,1,dim,,
d_4b_seg6.wav,801.36,6,item_8d,1.0,0.0,1,dim,,
d_4b_seg7.wav,1325.1,7,item_8d,1.0,0.0,1,dim,,
d_4b_seg8.wav,3280.79,8,item_8d,1.0,0.0,1,dim,,
d_5a_seg1.wav,5422.72,1,item_9d,1.0,0.0,1,dim,,
d_5a_seg2.wav,1027.8,2,item_9d,1.0,0.0,1,dim,,
d_5a_seg3.wav,804.6,3,item_9d,1.0,0.0,1,dim,,
d_5a_seg4.wav,951.45,4,item_9d,1.0,0.0,1,dim,,
d_5a_seg5.wav,816.35,5,item_9d,1.0,0.0,1,dim,,
